chromosome	window_pos_1	window_pos_2	group	pixy_pi	piawka_pi	pi_gain_piawka_vs_pixy	pixy_sites	piawka_sites	sites_gained_piawka_vs_pixy	sites_gained_pct_vs_pixy
scaffold_1	1030000	1040000	West Siberia	0.0032789234403726	0.00470871	0.0014297865596273997	5009.0	8945.0	3936.0	78.57855859452985
scaffold_1	1030000	1040000	admixed	0.0035583463617896	0.00673149	0.0031731436382103997	4948.0	8923.0	3975.0	80.3354890864996
scaffold_1	1040000	1050000	Central Europe	0.0024368285171345	0.00805445	0.005617621482865499	5433.0	8202.0	2769.0	50.966316951960245
scaffold_1	1040000	1050000	East Siberia	0.0015430204438219	0.0028589	0.0013158795561781002	5468.0	9010.0	3542.0	64.77688368690563
scaffold_1	1040000	1050000	Karelia	0.0018689198377737	0.00380267	0.0019337501622263002	5467.0	9198.0	3731.0	68.24583866837388
scaffold_1	1040000	1050000	MIX Amur Basin	0.0008601874276617	0.00163479	0.0007746025723382999	4894.0	8298.0	3404.0	69.55455659991827
scaffold_1	1040000	1050000	MIX Central Siberia	0.0010699867566392	0.0037256	0.0026556132433607996	5404.0	8933.0	3529.0	65.30347890451517
scaffold_1	1040000	1050000	MIX Sibiryakov Island	0.0010407561927246	0.00265866	0.0016179038072754001	5386.0	9019.0	3633.0	67.45265503156331
scaffold_1	1040000	1050000	North America	0.0008591233962337	0.00230851	0.0014493866037663002	5424.0	8899.0	3475.0	64.06710914454278
scaffold_1	1040000	1050000	Northern Ural	0.0006865491059483	0.00395567	0.0032691208940517	5386.0	8632.0	3246.0	60.26735982176012
scaffold_1	1040000	1050000	Scandinavia	0.0015027317857913	0.00285762	0.0013548882142086999	5424.0	8899.0	3475.0	64.06710914454278
scaffold_1	1040000	1050000	Siberia SC	9.589960681161208e-05	0.00021821	0.00012231039318838792	5386.0	9136.0	3750.0	69.62495358336427
scaffold_1	1040000	1050000	West Siberia	0.0015525181287224	0.00283019	0.0012776718712775997	5461.0	8876.0	3415.0	62.53433437099433
scaffold_1	1040000	1050000	admixed	0.0012616840042213	0.00397061	0.0027089259957787	5401.0	8978.0	3577.0	66.22847620810961
scaffold_1	1050000	1060000	Central Europe	0.003558814523009	0.0127114	0.009152585476991	4103.0	6944.0	2841.0	69.24201803558373
scaffold_1	1050000	1060000	East Siberia	0.001702386578764	0.00560078	0.0038983934212359996	4153.0	8356.0	4203.0	101.20394895256442
scaffold_1	1050000	1060000	Karelia	0.0011448885855748	0.0016534	0.0005085114144252	4144.0	8572.0	4428.0	106.85328185328184
scaffold_1	1050000	1060000	MIX Amur Basin	0.0017564191841868	0.00330539	0.0015489708158132	3673.0	7602.0	3929.0	106.9697794718214
scaffold_1	1050000	1060000	MIX Central Siberia	0.0012809815624986	0.00682978	0.0055487984375013994	4080.0	8044.0	3964.0	97.15686274509804
scaffold_1	1050000	1060000	MIX Sibiryakov Island	0.0019438659727014	0.00442489	0.0024810240272986	4043.0	8384.0	4341.0	107.37076428394757
scaffold_1	1050000	1060000	North America	0.0021603305650136	0.00539463	0.0032342994349864	4096.0	8111.0	4015.0	98.0224609375
scaffold_1	1050000	1060000	Northern Ural	0.0009833833945179	0.0080951	0.007111716605482099	4044.0	7733.0	3689.0	91.2215628090999
scaffold_1	1050000	1060000	Scandinavia	0.0033863839158906	0.0090026	0.005616216084109399	4097.0	8108.0	4011.0	97.90090309982914
scaffold_1	1050000	1060000	Siberia SC	0.000575125147232	0.00311703	0.0025419048527679997	4064.0	8588.0	4524.0	111.31889763779527
scaffold_1	1050000	1060000	West Siberia	0.0016215587297297	0.00391658	0.0022950212702703005	4143.0	8420.0	4277.0	103.23437122857833
scaffold_1	1050000	1060000	admixed	0.0021897340523517	0.00737876	0.0051890259476483	4071.0	8296.0	4225.0	103.78285433554409
scaffold_1	1060000	1070000	Central Europe	0.0038728438006721	0.0117396	0.007866756199327899	4376.0	7046.0	2670.0	61.01462522851919
scaffold_1	1060000	1070000	East Siberia	0.0021581506849099	0.00503236	0.0028742093150901	4410.0	8632.0	4222.0	95.73696145124715
scaffold_1	1060000	1070000	Karelia	0.0011410113317232	0.00326981	0.0021287986682768	4408.0	9009.0	4601.0	104.37840290381126
scaffold_1	1060000	1070000	MIX Amur Basin	0.0026494273869466	0.00547844	0.0028290126130534003	3915.0	8156.0	4241.0	108.32694763729248
scaffold_1	1060000	1070000	MIX Central Siberia	0.0015060067775942	0.00585705	0.0043510432224058	4349.0	8425.0	4076.0	93.72269487238447
scaffold_1	1060000	1070000	MIX Sibiryakov Island	0.0028283961721214	0.00566787	0.0028394738278786002	4299.0	8695.0	4396.0	102.25633868341475
scaffold_1	1060000	1070000	North America	0.0021352641764005	0.00458099	0.0024457258235995	4364.0	8306.0	3942.0	90.32997250229148
scaffold_1	1060000	1070000	Northern Ural	0.0014583384537841	0.00632352	0.0048651815462159	4309.0	8283.0	3974.0	92.22557437920631
scaffold_1	1060000	1070000	Scandinavia	0.0024223966541169	0.00546299	0.0030405933458831002	4364.0	8468.0	4104.0	94.04216315307058
scaffold_1	1060000	1070000	Siberia SC	0.0006020197763496	0.00202792	0.0014259002236503998	4332.0	8897.0	4565.0	105.37857802400738
scaffold_1	1060000	1070000	West Siberia	0.0024799550293999	0.0054969	0.0030169449706001	4403.0	8661.0	4258.0	96.70679082443789
scaffold_1	1060000	1070000	admixed	0.003160897293217	0.00735922	0.004198322706782999	4346.0	8647.0	4301.0	98.9645651173493
scaffold_1	1070000	1080000	Central Europe	0.0049205453295374	0.0159288	0.0110082546704626	3076.0	6204.0	3128.0	101.69050715214564
scaffold_1	1070000	1080000	East Siberia	0.0045586251788751	0.00953902	0.004980394821124901	3127.0	7753.0	4626.0	147.9373201151263
scaffold_1	1070000	1080000	Karelia	0.0049421650600901	0.00850374	0.0035615749399098996	3114.0	8329.0	5215.0	167.46949261400127
scaffold_1	1070000	1080000	MIX Amur Basin	0.0029234018377038	0.00684695	0.0039235481622962	2700.0	7443.0	4743.0	175.66666666666666
scaffold_1	1070000	1080000	MIX Central Siberia	0.0022225113572836	0.0103748	0.0081522886427164	3045.0	7600.0	4555.0	149.58949096880133
scaffold_1	1070000	1080000	MIX Sibiryakov Island	0.0037851753670473	0.00638548	0.0026003046329526997	2961.0	8086.0	5125.0	173.08341776426883
scaffold_1	1070000	1080000	North America	0.0031838237060459	0.00556304	0.0023792162939541	3080.0	7447.0	4367.0	141.7857142857143
scaffold_1	1070000	1080000	Northern Ural	0.0018570248994885	0.00940362	0.0075465951005115	3004.0	7264.0	4260.0	141.81091877496672
scaffold_1	1070000	1080000	Scandinavia	0.0042849262374692	0.00767001	0.0033850837625307995	3068.0	7787.0	4719.0	153.81355932203388
scaffold_1	1070000	1080000	Siberia SC	0.0004331307931243	0.00155112	0.0011179892068757	3054.0	8363.0	5309.0	173.83759004584152
scaffold_1	1070000	1080000	West Siberia	0.0052141858908249	0.0090932	0.0038790141091750996	3107.0	7794.0	4687.0	150.852912777599
scaffold_1	1070000	1080000	admixed	0.0046836673713128	0.0121365	0.0074528326286872	3048.0	7941.0	4893.0	160.53149606299212
scaffold_1	1080000	1090000	Central Europe	0.0078854986869977	0.0151141	0.007228601313002301	4412.0	7193.0	2781.0	63.03263825929284
scaffold_1	1080000	1090000	East Siberia	0.005695417353469	0.00953277	0.0038373526465309993	4427.0	8414.0	3987.0	90.06098938332957
scaffold_1	1080000	1090000	Karelia	0.0054590757431877	0.00848542	0.003026344256812301	4186.0	8386.0	4200.0	100.33444816053512
scaffold_1	1080000	1090000	MIX Amur Basin	0.0034177744489424	0.00689449	0.0034767155510575997	3952.0	7826.0	3874.0	98.02631578947368
scaffold_1	1080000	1090000	MIX Central Siberia	0.0046527827247515	0.0113753	0.006722517275248499	4387.0	8155.0	3768.0	85.89012992933668
scaffold_1	1080000	1090000	MIX Sibiryakov Island	0.0063122573159556	0.00967087	0.0033586126840443997	4239.0	8439.0	4200.0	99.07997169143667
scaffold_1	1080000	1090000	North America	0.0029211813782551	0.00488401	0.0019628286217449	4400.0	8274.0	3874.0	88.04545454545455
scaffold_1	1080000	1090000	Northern Ural	0.002412560310433	0.0116444	0.009231839689567	4348.0	7781.0	3433.0	78.95584176632934
scaffold_1	1080000	1090000	Scandinavia	0.0069841571515051	0.0112915	0.0043073428484949	4277.0	8025.0	3748.0	87.63151741875146
scaffold_1	1080000	1090000	Siberia SC	0.0001491780290598	0.000470292	0.00032111397094019997	4062.0	8411.0	4349.0	107.06548498276712
scaffold_1	1080000	1090000	West Siberia	0.0038838044984611	0.0057877	0.0019038955015388999	4394.0	8412.0	4018.0	91.44287664997725
scaffold_1	1080000	1090000	admixed	0.0067071895676724	0.0122139	0.0055067104323276	4243.0	8360.0	4117.0	97.03040301673344
scaffold_1	1090000	1100000	Central Europe	0.0029642620135388	0.00937657	0.006412307986461201	4954.0	7835.0	2881.0	58.15502624142107
scaffold_1	1090000	1100000	East Siberia	0.0018366161028644	0.00302588	0.0011892638971355998	4983.0	8740.0	3757.0	75.39634758177804
scaffold_1	1090000	1100000	Karelia	0.0009258839014205	0.00202273	0.0010968460985794999	4982.0	9002.0	4020.0	80.69048574869531
scaffold_1	1090000	1100000	MIX Amur Basin	0.001899989214035	0.00365659	0.001756600785965	4489.0	8124.0	3635.0	80.97571842281131
scaffold_1	1090000	1100000	MIX Central Siberia	0.0015941997962807	0.00385942	0.0022652202037193	4930.0	8537.0	3607.0	73.16430020283975
scaffold_1	1090000	1100000	MIX Sibiryakov Island	0.0016912707480006	0.00285378	0.0011625092519994002	4893.0	8820.0	3927.0	80.25751072961373
scaffold_1	1090000	1100000	North America	0.0012375258934008	0.00179944	0.0005619141065992001	4951.0	8442.0	3491.0	70.51100787719653
scaffold_1	1090000	1100000	Northern Ural	0.0011181913724029	0.00366145	0.0025432586275971002	4913.0	8475.0	3562.0	72.50152656218197
scaffold_1	1090000	1100000	Scandinavia	0.0024981256255014	0.00550607	0.0030079443744986	4951.0	8686.0	3735.0	75.43930519087053
scaffold_1	1090000	1100000	Siberia SC	0.0001086602194936	0.000459827	0.0003511667805064	4910.0	9023.0	4113.0	83.76782077393075
scaffold_1	1090000	1100000	West Siberia	0.0012849621131228	0.00196754	0.0006825778868771999	4979.0	8835.0	3856.0	77.44527013456516
scaffold_1	1090000	1100000	admixed	0.0021576831526874	0.00473403	0.0025763468473126	4928.0	8774.0	3846.0	78.04383116883116
scaffold_1	1100000	1110000	Central Europe	0.003879992629137	0.00986058	0.005980587370863001	4114.0	6817.0	2703.0	65.70247933884298
scaffold_1	1100000	1110000	East Siberia	0.0020910274445558	0.0046164	0.0025253725554442	4125.0	8411.0	4286.0	103.90303030303029
scaffold_1	1100000	1110000	Karelia	0.0019197051441003	0.00344452	0.0015248148558997	4136.0	8521.0	4385.0	106.02030947775629
scaffold_1	1100000	1110000	MIX Amur Basin	0.0030403171359311	0.00550676	0.0024664428640689003	3698.0	7795.0	4097.0	110.78961600865334
scaffold_1	1100000	1110000	MIX Central Siberia	0.0023421941429532	0.00591805	0.0035758558570468	4088.0	8170.0	4082.0	99.85322896281801
scaffold_1	1100000	1110000	MIX Sibiryakov Island	0.0016784335459978	0.00418378	0.0025053464540022	3931.0	8199.0	4268.0	108.57288221826506
scaffold_1	1100000	1110000	North America	0.0013771315178526	0.00268165	0.0013045184821473999	4071.0	8149.0	4078.0	100.17194792434292
scaffold_1	1100000	1110000	Northern Ural	0.0021125762533758	0.00523452	0.0031219437466242003	4030.0	7870.0	3840.0	95.28535980148884
scaffold_1	1100000	1110000	Scandinavia	0.003741416817758	0.00870744	0.004966023182242001	4113.0	7983.0	3870.0	94.09190371991247
scaffold_1	1100000	1110000	Siberia SC	0.0001312383469398	0.00034623	0.0002149916530602	4066.0	8725.0	4659.0	114.58435809149042
scaffold_1	1100000	1110000	West Siberia	0.0017927303941127	0.00336334	0.0015706096058873	4096.0	8220.0	4124.0	100.68359375
scaffold_1	1100000	1110000	admixed	0.0029047476874473	0.00663011	0.0037253623125526997	4083.0	8389.0	4306.0	105.46167034043596
scaffold_1	1110000	1120000	Central Europe	0.0043807580353167	0.0111167	0.0067359419646833	4145.0	6880.0	2735.0	65.98311218335344
scaffold_1	1110000	1120000	East Siberia	0.0028584257212595	0.00630911	0.0034506842787404997	4187.0	8385.0	4198.0	100.26271793647004
scaffold_1	1110000	1120000	Karelia	0.0025681351804779	0.00585915	0.0032910148195220996	4142.0	8505.0	4363.0	105.33558667310479
scaffold_1	1110000	1120000	MIX Amur Basin	0.004544034084657	0.00926857	0.004724535915343	3675.0	7642.0	3967.0	107.94557823129252
scaffold_1	1110000	1120000	MIX Central Siberia	0.0030949005941889	0.00812441	0.0050295094058111	4089.0	7921.0	3832.0	93.71484470530692
scaffold_1	1110000	1120000	MIX Sibiryakov Island	0.0036658666740229	0.00890689	0.0052410233259771	4032.0	8384.0	4352.0	107.93650793650794
scaffold_1	1110000	1120000	North America	0.0020280728722294	0.00346275	0.0014346771277706002	4118.0	8107.0	3989.0	96.86741136474016
scaffold_1	1110000	1120000	Northern Ural	0.0028890778503202	0.00855351	0.0056644321496798	4055.0	7702.0	3647.0	89.9383477188656
scaffold_1	1110000	1120000	Scandinavia	0.00467237671399	0.00987937	0.0052069932860100004	4137.0	8287.0	4150.0	100.31423737007495
scaffold_1	1110000	1120000	Siberia SC	0.0003414165809306	0.000506811	0.00016539441906940003	4072.0	8583.0	4511.0	110.78094302554027
scaffold_1	1110000	1120000	West Siberia	0.0035092924601721	0.00686892	0.0033596275398279	4179.0	8463.0	4284.0	102.51256281407035
scaffold_1	1110000	1120000	admixed	0.0045115978623212	0.00970903	0.005197432137678801	4087.0	8387.0	4300.0	105.21164668460973
scaffold_1	1120000	1130000	Central Europe	0.0083931695434193	0.016843	0.0084498304565807	3216.0	6509.0	3293.0	102.39427860696517
scaffold_1	1120000	1130000	East Siberia	0.0109654954460547	0.0165353	0.005569804553945299	3130.0	7709.0	4579.0	146.29392971246006
scaffold_1	1120000	1130000	Karelia	0.0088345708143684	0.0151019	0.006267329185631599	2780.0	6885.0	4105.0	147.66187050359713
scaffold_1	1120000	1130000	MIX Amur Basin	0.0105479201972387	0.0160002	0.005452279802761299	2788.0	7471.0	4683.0	167.96987087517934
scaffold_1	1120000	1130000	MIX Central Siberia	0.0064019313697494	0.0153468	0.0089448686302506	3015.0	7577.0	4562.0	151.31011608623547
scaffold_1	1120000	1130000	MIX Sibiryakov Island	0.0108503538848071	0.0165837	0.005733346115192901	2653.0	7160.0	4507.0	169.88315114964192
scaffold_1	1120000	1130000	North America	0.0051268029510952	0.00703223	0.0019054270489048007	3233.0	6902.0	3669.0	113.4859263841633
scaffold_1	1120000	1130000	Northern Ural	0.0049422423520994	0.0138508	0.008908557647900599	2893.0	7349.0	4456.0	154.02696163152436
scaffold_1	1120000	1130000	Scandinavia	0.0108958853214868	0.0190568	0.008160914678513199	3254.0	7342.0	4088.0	125.62999385371849
scaffold_1	1120000	1130000	Siberia SC	0.00172675391213	0.00280002	0.00107326608787	3290.0	8715.0	5425.0	164.8936170212766
scaffold_1	1120000	1130000	West Siberia	0.0094202718937163	0.0137569	0.004336628106283701	3170.0	7719.0	4549.0	143.50157728706625
scaffold_1	1120000	1130000	admixed	0.0101243802731147	0.018925	0.008800619726885301	3241.0	8253.0	5012.0	154.64362850971924
scaffold_1	1130000	1140000	Central Europe	0.0079402567176971	0.0185665	0.0106262432823029	3509.0	6327.0	2818.0	80.30777999430036
scaffold_1	1130000	1140000	East Siberia	0.0082863380590561	0.0162494	0.007963061940943901	3130.0	6923.0	3793.0	121.18210862619809
scaffold_1	1130000	1140000	Karelia	0.0070597103904718	0.0118648	0.0048050896095282	2802.0	6808.0	4006.0	142.96930763740187
scaffold_1	1130000	1140000	MIX Amur Basin	0.0064814708218689	0.0141164	0.0076349291781311	2629.0	6680.0	4051.0	154.08900722708253
scaffold_1	1130000	1140000	MIX Central Siberia	0.0075254983803882	0.0204982	0.0129727016196118	3343.0	7441.0	4098.0	122.58450493568651
scaffold_1	1130000	1140000	MIX Sibiryakov Island	0.0073573087099735	0.0139727	0.006615391290026499	2725.0	6709.0	3984.0	146.2018348623853
scaffold_1	1130000	1140000	North America	0.0079751781180411	0.0138171	0.0058419218819589	3501.0	6865.0	3364.0	96.08683233361897
scaffold_1	1130000	1140000	Northern Ural	0.0079267085340404	0.0198262	0.011899491465959599	3113.0	6855.0	3742.0	120.20558946353998
scaffold_1	1130000	1140000	Scandinavia	0.0082517511515393	0.0182618	0.010010048848460702	3215.0	6990.0	3775.0	117.41835147744946
scaffold_1	1130000	1140000	Siberia SC	0.0005362612279694	0.00170456	0.0011682987720306	3486.0	8651.0	5165.0	148.16408491107288
scaffold_1	1130000	1140000	West Siberia	0.0077899759158128	0.0168464	0.009056424084187201	2659.0	6618.0	3959.0	148.89056036103798
scaffold_1	1130000	1140000	admixed	0.008287815405931	0.0189276	0.010639784594069	3406.0	7604.0	4198.0	123.25308279506753
scaffold_1	1140000	1150000	Central Europe	0.005893463428109	0.0154766	0.009583136571890999	3026.0	6103.0	3077.0	101.68539325842696
scaffold_1	1140000	1150000	East Siberia	0.0066327208124337	0.0138106	0.007177879187566299	3053.0	7571.0	4518.0	147.98558794628235
scaffold_1	1140000	1150000	Karelia	0.0053683798362312	0.0105917	0.005223320163768801	2809.0	7463.0	4654.0	165.6817372730509
scaffold_1	1140000	1150000	MIX Amur Basin	0.0082853474132297	0.0174927	0.0092073525867703	2654.0	7203.0	4549.0	171.4016578749058
scaffold_1	1140000	1150000	MIX Central Siberia	0.0026941393873333	0.0128255	0.010131360612666701	3000.0	7395.0	4395.0	146.5
scaffold_1	1140000	1150000	MIX Sibiryakov Island	0.004614011182634	0.0112052	0.006591188817366	2960.0	7983.0	5023.0	169.69594594594594
scaffold_1	1140000	1150000	North America	0.0061063146789454	0.0125174	0.0064110853210546	3018.0	7342.0	4324.0	143.27369118621604
scaffold_1	1140000	1150000	Northern Ural	0.0026815225826777	0.0128438	0.0101622774173223	2965.0	7203.0	4238.0	142.93423271500842
scaffold_1	1140000	1150000	Scandinavia	0.0051062641546531	0.01303	0.0079237358453469	3018.0	7646.0	4628.0	153.34658714380384
scaffold_1	1140000	1150000	Siberia SC	0.0003604366975145	0.000669634	0.0003091973024855	2980.0	8341.0	5361.0	179.8993288590604
scaffold_1	1140000	1150000	West Siberia	0.0076513754912281	0.0170408	0.009389424508771898	3048.0	7624.0	4576.0	150.13123359580052
scaffold_1	1140000	1150000	admixed	0.0074464850911763	0.0186529	0.0112064149088237	2988.0	7658.0	4670.0	156.29183400267738
scaffold_1	1150000	1160000	Central Europe	0.0108721960733697	0.0180875	0.0072153039266303	5271.0	7151.0	1880.0	35.66685638398786
scaffold_1	1150000	1160000	East Siberia	0.0063045078078283	0.0110705	0.004765992192171701	5032.0	7874.0	2842.0	56.4785373608903
scaffold_1	1150000	1160000	Karelia	0.0065069970637882	0.0100466	0.0035396029362117993	4676.0	7901.0	3225.0	68.96920444824637
scaffold_1	1150000	1160000	MIX Amur Basin	0.0041120654206332	0.0108652	0.0067531345793668	4081.0	6990.0	2909.0	71.2815486400392
scaffold_1	1150000	1160000	MIX Central Siberia	0.0052492701950816	0.0112884	0.006039129804918401	5052.0	7916.0	2864.0	56.690419635787805
scaffold_1	1150000	1160000	MIX Sibiryakov Island	0.0038110976601781	0.0110737	0.007262602339821901	3697.0	6633.0	2936.0	79.41574249391398
scaffold_1	1150000	1160000	North America	0.0075090174413684	0.013959	0.006449982558631599	5165.0	7720.0	2555.0	49.4675701839303
scaffold_1	1150000	1160000	Northern Ural	0.0056826638893572	0.0110743	0.0053916361106428005	4954.0	7705.0	2751.0	55.53088413403311
scaffold_1	1150000	1160000	Scandinavia	0.0113578289761967	0.0208445	0.009486671023803298	5236.0	7868.0	2632.0	50.26737967914438
scaffold_1	1150000	1160000	Siberia SC	0.0002872035302747	0.000538301	0.00025109746972530004	5278.0	8890.0	3612.0	68.43501326259947
scaffold_1	1150000	1160000	West Siberia	0.0063613248158441	0.0110908	0.004729475184155899	4475.0	6923.0	2448.0	54.70391061452514
scaffold_1	1150000	1160000	admixed	0.0072872151069512	0.0156109	0.0083236848930488	5240.0	8302.0	3062.0	58.4351145038168
scaffold_1	1160000	1170000	Central Europe	0.0071503323621968	0.0114191	0.0042687676378032	6386.0	8454.0	2068.0	32.383338553084876
scaffold_1	1160000	1170000	East Siberia	0.008423884000409	0.0123392	0.003915315999590999	6358.0	9010.0	2652.0	41.711229946524064
scaffold_1	1160000	1170000	Karelia	0.0011833444271873	0.00157487	0.0003915255728126998	3292.0	5569.0	2277.0	69.16767922235722
scaffold_1	1160000	1170000	MIX Amur Basin	0.0071922377198302	0.0121175	0.004925262280169799	5443.0	7966.0	2523.0	46.353114091493666
scaffold_1	1160000	1170000	MIX Central Siberia	0.005850948399983	0.0102873	0.0044363516000169995	6225.0	8909.0	2684.0	43.11646586345382
scaffold_1	1160000	1170000	MIX Sibiryakov Island	0.0076849695425791	0.0105142	0.002829230457420899	5491.0	8178.0	2687.0	48.93462028774358
scaffold_1	1160000	1170000	North America	0.0041590250078598	0.00553172	0.0013726949921402005	6419.0	8829.0	2410.0	37.544788907929586
