chromosome	window_pos_1	window_pos_2	group	piawka_lines	pixy_no_sites	sites_gained_piawka_vs_pixy
scaffold_1	1100000	1110000	Karelia	8521.0	4136.0	4385.0
scaffold_1	1100000	1110000	MIX Amur Basin	7795.0	3698.0	4097.0
scaffold_1	1100000	1110000	MIX Central Siberia	8170.0	4088.0	4082.0
scaffold_1	1100000	1110000	MIX Sibiryakov Island	8199.0	3931.0	4268.0
scaffold_1	1100000	1110000	North America	8149.0	4071.0	4078.0
scaffold_1	1100000	1110000	Northern Ural	7870.0	4030.0	3840.0
scaffold_1	1100000	1110000	Scandinavia	7983.0	4113.0	3870.0
scaffold_1	1100000	1110000	Siberia SC	8725.0	4066.0	4659.0
scaffold_1	1100000	1110000	West Siberia	8220.0	4096.0	4124.0
scaffold_1	1100000	1110000	admixed	8389.0	4083.0	4306.0
scaffold_1	1110000	1120000	Central Europe	6880.0	4145.0	2735.0
scaffold_1	1110000	1120000	East Siberia	8385.0	4187.0	4198.0
scaffold_1	1110000	1120000	Karelia	8505.0	4142.0	4363.0
scaffold_1	1110000	1120000	MIX Amur Basin	7642.0	3675.0	3967.0
scaffold_1	1110000	1120000	MIX Central Siberia	7921.0	4089.0	3832.0
scaffold_1	1110000	1120000	MIX Sibiryakov Island	8384.0	4032.0	4352.0
scaffold_1	1110000	1120000	North America	8107.0	4118.0	3989.0
scaffold_1	1110000	1120000	Northern Ural	7702.0	4055.0	3647.0
scaffold_1	1110000	1120000	Scandinavia	8287.0	4137.0	4150.0
scaffold_1	1110000	1120000	Siberia SC	8583.0	4072.0	4511.0
scaffold_1	1110000	1120000	West Siberia	8463.0	4179.0	4284.0
scaffold_1	1110000	1120000	admixed	8387.0	4087.0	4300.0
scaffold_1	1120000	1130000	Central Europe	6509.0	3216.0	3293.0
scaffold_1	1120000	1130000	East Siberia	7709.0	3130.0	4579.0
scaffold_1	1120000	1130000	Karelia	6885.0	2780.0	4105.0
scaffold_1	1120000	1130000	MIX Amur Basin	7471.0	2788.0	4683.0
scaffold_1	1120000	1130000	MIX Central Siberia	7577.0	3015.0	4562.0
scaffold_1	1120000	1130000	MIX Sibiryakov Island	7160.0	2653.0	4507.0
scaffold_1	1120000	1130000	North America	6902.0	3233.0	3669.0
scaffold_1	1120000	1130000	Northern Ural	7349.0	2893.0	4456.0
scaffold_1	1120000	1130000	Scandinavia	7342.0	3254.0	4088.0
scaffold_1	1120000	1130000	Siberia SC	8715.0	3290.0	5425.0
scaffold_1	1120000	1130000	West Siberia	7719.0	3170.0	4549.0
scaffold_1	1120000	1130000	admixed	8253.0	3241.0	5012.0
scaffold_1	1130000	1140000	Central Europe	6327.0	3509.0	2818.0
scaffold_1	1130000	1140000	East Siberia	6923.0	3130.0	3793.0
scaffold_1	1130000	1140000	Karelia	6808.0	2802.0	4006.0
scaffold_1	1130000	1140000	MIX Amur Basin	6680.0	2629.0	4051.0
scaffold_1	1130000	1140000	MIX Central Siberia	7441.0	3343.0	4098.0
scaffold_1	1130000	1140000	MIX Sibiryakov Island	6709.0	2725.0	3984.0
scaffold_1	1130000	1140000	North America	6865.0	3501.0	3364.0
scaffold_1	1130000	1140000	Northern Ural	6855.0	3113.0	3742.0
scaffold_1	1130000	1140000	Scandinavia	6990.0	3215.0	3775.0
scaffold_1	1130000	1140000	Siberia SC	8651.0	3486.0	5165.0
scaffold_1	1130000	1140000	West Siberia	6618.0	2659.0	3959.0
scaffold_1	1130000	1140000	admixed	7604.0	3406.0	4198.0
scaffold_1	1140000	1150000	Central Europe	6103.0	3026.0	3077.0
scaffold_1	1140000	1150000	East Siberia	7571.0	3053.0	4518.0
scaffold_1	1140000	1150000	Karelia	7463.0	2809.0	4654.0
scaffold_1	1140000	1150000	MIX Amur Basin	7203.0	2654.0	4549.0
scaffold_1	1140000	1150000	MIX Central Siberia	7395.0	3000.0	4395.0
scaffold_1	1140000	1150000	MIX Sibiryakov Island	7983.0	2960.0	5023.0
scaffold_1	1140000	1150000	North America	7342.0	3018.0	4324.0
scaffold_1	1140000	1150000	Northern Ural	7203.0	2965.0	4238.0
scaffold_1	1140000	1150000	Scandinavia	7646.0	3018.0	4628.0
scaffold_1	1140000	1150000	Siberia SC	8341.0	2980.0	5361.0
scaffold_1	1140000	1150000	West Siberia	7624.0	3048.0	4576.0
scaffold_1	1140000	1150000	admixed	7658.0	2988.0	4670.0
scaffold_1	1150000	1160000	Central Europe	7151.0	5271.0	1880.0
scaffold_1	1150000	1160000	East Siberia	7874.0	5032.0	2842.0
scaffold_1	1150000	1160000	Karelia	7901.0	4676.0	3225.0
scaffold_1	1150000	1160000	MIX Amur Basin	6990.0	4081.0	2909.0
scaffold_1	1150000	1160000	MIX Central Siberia	7916.0	5052.0	2864.0
scaffold_1	1150000	1160000	MIX Sibiryakov Island	6633.0	3697.0	2936.0
scaffold_1	1150000	1160000	North America	7720.0	5165.0	2555.0
scaffold_1	1150000	1160000	Northern Ural	7705.0	4954.0	2751.0
scaffold_1	1150000	1160000	Scandinavia	7868.0	5236.0	2632.0
scaffold_1	1150000	1160000	Siberia SC	8890.0	5278.0	3612.0
scaffold_1	1150000	1160000	West Siberia	6923.0	4475.0	2448.0
scaffold_1	1150000	1160000	admixed	8302.0	5240.0	3062.0
scaffold_1	1160000	1170000	Central Europe	8454.0	6386.0	2068.0
scaffold_1	1160000	1170000	East Siberia	9010.0	6358.0	2652.0
scaffold_1	1160000	1170000	Karelia	5569.0	3292.0	2277.0
scaffold_1	1160000	1170000	MIX Amur Basin	7966.0	5443.0	2523.0
scaffold_1	1160000	1170000	MIX Central Siberia	8909.0	6225.0	2684.0
scaffold_1	1160000	1170000	MIX Sibiryakov Island	8178.0	5491.0	2687.0
scaffold_1	1160000	1170000	North America	8829.0	6419.0	2410.0
scaffold_1	1160000	1170000	Northern Ural	8395.0	5868.0	2527.0
scaffold_1	1160000	1170000	Scandinavia	8322.0	6116.0	2206.0
scaffold_1	1160000	1170000	Siberia SC	9486.0	6487.0	2999.0
scaffold_1	1160000	1170000	West Siberia	6587.0	4948.0	1639.0
scaffold_1	1160000	1170000	admixed	9207.0	6361.0	2846.0
scaffold_1	1170000	1180000	Central Europe	7189.0	4168.0	3021.0
scaffold_1	1170000	1180000	East Siberia	8732.0	4186.0	4546.0
scaffold_1	1170000	1180000	Karelia	8897.0	4195.0	4702.0
scaffold_1	1170000	1180000	MIX Amur Basin	7992.0	3794.0	4198.0
scaffold_1	1170000	1180000	MIX Central Siberia	8457.0	4121.0	4336.0
scaffold_1	1170000	1180000	MIX Sibiryakov Island	8654.0	4097.0	4557.0
scaffold_1	1170000	1180000	North America	8178.0	4162.0	4016.0
scaffold_1	1170000	1180000	Northern Ural	8266.0	4096.0	4170.0
scaffold_1	1170000	1180000	Scandinavia	8259.0	4162.0	4097.0
scaffold_1	1170000	1180000	Siberia SC	8815.0	4109.0	4706.0
scaffold_1	1170000	1180000	West Siberia	7886.0	3960.0	3926.0
scaffold_1	1170000	1180000	admixed	8625.0	4114.0	4511.0
scaffold_1	1180000	1190000	Central Europe	7782.0	4903.0	2879.0
scaffold_1	1180000	1190000	East Siberia	8840.0	4944.0	3896.0
scaffold_1	1180000	1190000	Karelia	9026.0	4930.0	4096.0
scaffold_1	1180000	1190000	MIX Amur Basin	8077.0	4361.0	3716.0
scaffold_1	1180000	1190000	MIX Central Siberia	8545.0	4854.0	3691.0
scaffold_1	1180000	1190000	MIX Sibiryakov Island	8511.0	4651.0	3860.0
scaffold_1	1180000	1190000	North America	8722.0	4903.0	3819.0
scaffold_1	1180000	1190000	Northern Ural	8363.0	4818.0	3545.0
scaffold_1	1180000	1190000	Scandinavia	8644.0	4902.0	3742.0
scaffold_1	1180000	1190000	Siberia SC	8940.0	4854.0	4086.0
scaffold_1	1180000	1190000	West Siberia	8834.0	4934.0	3900.0
scaffold_1	1180000	1190000	admixed	8740.0	4854.0	3886.0
scaffold_1	1190000	1200000	Central Europe	6704.0	3520.0	3184.0
scaffold_1	1190000	1200000	East Siberia	8172.0	3554.0	4618.0
scaffold_1	1190000	1200000	Karelia	8693.0	3551.0	5142.0
scaffold_1	1190000	1200000	MIX Amur Basin	7511.0	3067.0	4444.0
scaffold_1	1190000	1200000	MIX Central Siberia	7909.0	3474.0	4435.0
scaffold_1	1190000	1200000	MIX Sibiryakov Island	8167.0	3426.0	4741.0
scaffold_1	1190000	1200000	North America	7811.0	3512.0	4299.0
scaffold_1	1190000	1200000	Northern Ural	7488.0	3438.0	4050.0
scaffold_1	1190000	1200000	Scandinavia	7592.0	3512.0	4080.0
scaffold_1	1190000	1200000	Siberia SC	8583.0	3445.0	5138.0
scaffold_1	1190000	1200000	West Siberia	8190.0	3545.0	4645.0
scaffold_1	1190000	1200000	admixed	8082.0	3470.0	4612.0
scaffold_1	1200000	1210000	Central Europe	7503.0	5441.0	2062.0
scaffold_1	1200000	1210000	East Siberia	7801.0	4732.0	3069.0
scaffold_1	1200000	1210000	Karelia	7948.0	4711.0	3237.0
scaffold_1	1200000	1210000	MIX Amur Basin	7455.0	4593.0	2862.0
scaffold_1	1200000	1210000	MIX Central Siberia	7318.0	4419.0	2899.0
scaffold_1	1200000	1210000	MIX Sibiryakov Island	6543.0	3444.0	3099.0
scaffold_1	1200000	1210000	North America	7384.0	4690.0	2694.0
scaffold_1	1200000	1210000	Northern Ural	7051.0	4400.0	2651.0
scaffold_1	1200000	1210000	Scandinavia	7986.0	5129.0	2857.0
scaffold_1	1200000	1210000	Siberia SC	9044.0	5506.0	3538.0
scaffold_1	1200000	1210000	West Siberia	7619.0	4653.0	2966.0
scaffold_1	1200000	1210000	admixed	8594.0	5460.0	3134.0
scaffold_1	1210000	1220000	Central Europe	7229.0	4492.0	2737.0
scaffold_1	1210000	1220000	East Siberia	8512.0	4512.0	4000.0
scaffold_1	1210000	1220000	Karelia	8882.0	4498.0	4384.0
scaffold_1	1210000	1220000	MIX Amur Basin	7996.0	4017.0	3979.0
scaffold_1	1210000	1220000	MIX Central Siberia	8433.0	4435.0	3998.0
scaffold_1	1210000	1220000	MIX Sibiryakov Island	8624.0	4406.0	4218.0
scaffold_1	1210000	1220000	North America	8276.0	4474.0	3802.0
scaffold_1	1210000	1220000	Northern Ural	8191.0	4425.0	3766.0
scaffold_1	1210000	1220000	Scandinavia	8418.0	4470.0	3948.0
scaffold_1	1210000	1220000	Siberia SC	8908.0	4442.0	4466.0
scaffold_1	1210000	1220000	West Siberia	8610.0	4510.0	4100.0
scaffold_1	1210000	1220000	admixed	8592.0	4454.0	4138.0
scaffold_1	1220000	1230000	Central Europe	6242.0	3412.0	2830.0
scaffold_1	1220000	1230000	East Siberia	8102.0	3405.0	4697.0
scaffold_1	1220000	1230000	Karelia	8062.0	3307.0	4755.0
scaffold_1	1220000	1230000	MIX Amur Basin	7270.0	2896.0	4374.0
scaffold_1	1220000	1230000	MIX Central Siberia	7653.0	3291.0	4362.0
scaffold_1	1220000	1230000	MIX Sibiryakov Island	7759.0	3110.0	4649.0
scaffold_1	1220000	1230000	North America	7708.0	3329.0	4379.0
scaffold_1	1220000	1230000	Northern Ural	7184.0	3179.0	4005.0
scaffold_1	1220000	1230000	Scandinavia	7955.0	3384.0	4571.0
scaffold_1	1220000	1230000	Siberia SC	8536.0	3363.0	5173.0
scaffold_1	1220000	1230000	West Siberia	7790.0	3391.0	4399.0
scaffold_1	1220000	1230000	admixed	8148.0	3349.0	4799.0
scaffold_1	1230000	1240000	Central Europe	5183.0	2397.0	2786.0
scaffold_1	1230000	1240000	East Siberia	6285.0	2080.0	4205.0
scaffold_1	1230000	1240000	Karelia	6753.0	1656.0	5097.0
scaffold_1	1230000	1240000	MIX Amur Basin	6817.0	1944.0	4873.0
scaffold_1	1230000	1240000	MIX Central Siberia	6799.0	2071.0	4728.0
scaffold_1	1230000	1240000	MIX Sibiryakov Island	6883.0	1853.0	5030.0
scaffold_1	1230000	1240000	North America	6268.0	2223.0	4045.0
scaffold_1	1230000	1240000	Northern Ural	6760.0	1992.0	4768.0
scaffold_1	1230000	1240000	Scandinavia	5959.0	2310.0	3649.0
scaffold_1	1230000	1240000	Siberia SC	8622.0	2464.0	6158.0
scaffold_1	1230000	1240000	West Siberia	6811.0	1991.0	4820.0
scaffold_1	1230000	1240000	admixed	7642.0	2410.0	5232.0
scaffold_1	1240000	1250000	Central Europe	6456.0	3871.0	2585.0
scaffold_1	1240000	1250000	East Siberia	8300.0	3915.0	4385.0
scaffold_1	1240000	1250000	Karelia	8486.0	3626.0	4860.0
scaffold_1	1240000	1250000	MIX Amur Basin	7878.0	3442.0	4436.0
scaffold_1	1240000	1250000	MIX Central Siberia	8022.0	3815.0	4207.0
scaffold_1	1240000	1250000	MIX Sibiryakov Island	8252.0	3660.0	4592.0
scaffold_1	1240000	1250000	North America	7864.0	3799.0	4065.0
scaffold_1	1240000	1250000	Northern Ural	7779.0	3789.0	3990.0
scaffold_1	1240000	1250000	Scandinavia	7927.0	3840.0	4087.0
scaffold_1	1240000	1250000	Siberia SC	8724.0	3835.0	4889.0
scaffold_1	1240000	1250000	West Siberia	8394.0	3855.0	4539.0
scaffold_1	1240000	1250000	admixed	8427.0	3834.0	4593.0
scaffold_1	1250000	1260000	Central Europe	6554.0	3886.0	2668.0
scaffold_1	1250000	1260000	East Siberia	8235.0	3917.0	4318.0
scaffold_1	1250000	1260000	Karelia	8561.0	3879.0	4682.0
scaffold_1	1250000	1260000	MIX Amur Basin	7747.0	3466.0	4281.0
scaffold_1	1250000	1260000	MIX Central Siberia	8071.0	3851.0	4220.0
scaffold_1	1250000	1260000	MIX Sibiryakov Island	8254.0	3764.0	4490.0
scaffold_1	1250000	1260000	North America	8004.0	3873.0	4131.0
scaffold_1	1250000	1260000	Northern Ural	7764.0	3786.0	3978.0
scaffold_1	1250000	1260000	Scandinavia	8172.0	3875.0	4297.0
scaffold_1	1250000	1260000	Siberia SC	8628.0	3837.0	4791.0
scaffold_1	1250000	1260000	West Siberia	8315.0	3899.0	4416.0
scaffold_1	1250000	1260000	admixed	8426.0	3844.0	4582.0
scaffold_1	1260000	1270000	Central Europe	7132.0	4964.0	2168.0
scaffold_1	1260000	1270000	East Siberia	7931.0	4769.0	3162.0
scaffold_1	1260000	1270000	Karelia	6867.0	3510.0	3357.0
scaffold_1	1260000	1270000	MIX Amur Basin	7206.0	4067.0	3139.0
scaffold_1	1260000	1270000	MIX Central Siberia	7718.0	4582.0	3136.0
scaffold_1	1260000	1270000	MIX Sibiryakov Island	7051.0	3798.0	3253.0
scaffold_1	1260000	1270000	North America	7272.0	4204.0	3068.0
scaffold_1	1260000	1270000	Northern Ural	7380.0	4592.0	2788.0
scaffold_1	1260000	1270000	Scandinavia	7379.0	4699.0	2680.0
scaffold_1	1260000	1270000	Siberia SC	8876.0	5142.0	3734.0
scaffold_1	1260000	1270000	West Siberia	7462.0	4321.0	3141.0
scaffold_1	1260000	1270000	admixed	8282.0	5101.0	3181.0
scaffold_1	1270000	1280000	Central Europe	7306.0	4440.0	2866.0
scaffold_1	1270000	1280000	East Siberia	8565.0	4437.0	4128.0
scaffold_1	1270000	1280000	Karelia	8339.0	4141.0	4198.0
scaffold_1	1270000	1280000	MIX Amur Basin	7982.0	3983.0	3999.0
scaffold_1	1270000	1280000	MIX Central Siberia	8096.0	4409.0	3687.0
scaffold_1	1270000	1280000	MIX Sibiryakov Island	8566.0	4290.0	4276.0
scaffold_1	1270000	1280000	North America	7344.0	3828.0	3516.0
scaffold_1	1270000	1280000	Northern Ural	8279.0	4340.0	3939.0
scaffold_1	1270000	1280000	Scandinavia	7845.0	4094.0	3751.0
scaffold_1	1270000	1280000	Siberia SC	8792.0	4378.0	4414.0
scaffold_1	1270000	1280000	West Siberia	8595.0	4426.0	4169.0
scaffold_1	1270000	1280000	admixed	8620.0	4362.0	4258.0
scaffold_1	1280000	1290000	Central Europe	6617.0	4034.0	2583.0
scaffold_1	1280000	1290000	East Siberia	8513.0	4080.0	4433.0
scaffold_1	1280000	1290000	Karelia	8383.0	3729.0	4654.0
scaffold_1	1280000	1290000	MIX Amur Basin	7424.0	3373.0	4051.0
scaffold_1	1280000	1290000	MIX Central Siberia	8145.0	3991.0	4154.0
scaffold_1	1280000	1290000	MIX Sibiryakov Island	7868.0	3408.0	4460.0
scaffold_1	1280000	1290000	North America	8191.0	4023.0	4168.0
scaffold_1	1280000	1290000	Northern Ural	7793.0	3877.0	3916.0
scaffold_1	1280000	1290000	Scandinavia	7964.0	3822.0	4142.0
scaffold_1	1280000	1290000	Siberia SC	8559.0	3918.0	4641.0
scaffold_1	1280000	1290000	West Siberia	8466.0	4048.0	4418.0
scaffold_1	1280000	1290000	admixed	8154.0	3666.0	4488.0
scaffold_1	1290000	1300000	Central Europe	7397.0	3889.0	3508.0
scaffold_1	1290000	1300000	East Siberia	8346.0	3928.0	4418.0
scaffold_1	1290000	1300000	Karelia	8466.0	3856.0	4610.0
scaffold_1	1290000	1300000	MIX Amur Basin	7787.0	3446.0	4341.0
scaffold_1	1290000	1300000	MIX Central Siberia	8330.0	3852.0	4478.0
scaffold_1	1290000	1300000	MIX Sibiryakov Island	7865.0	3383.0	4482.0
scaffold_1	1290000	1300000	North America	7502.0	3344.0	4158.0
scaffold_1	1290000	1300000	Northern Ural	7951.0	3783.0	4168.0
scaffold_1	1290000	1300000	Scandinavia	8224.0	3836.0	4388.0
scaffold_1	1290000	1300000	Siberia SC	8762.0	3832.0	4930.0
scaffold_1	1290000	1300000	West Siberia	8402.0	3910.0	4492.0
scaffold_1	1290000	1300000	admixed	8497.0	3828.0	4669.0
scaffold_1	1300000	1310000	Central Europe	6566.0	3467.0	3099.0
scaffold_1	1300000	1310000	East Siberia	8445.0	3500.0	4945.0
scaffold_1	1300000	1310000	Karelia	8593.0	3483.0	5110.0
scaffold_1	1300000	1310000	MIX Amur Basin	7856.0	3089.0	4767.0
scaffold_1	1300000	1310000	MIX Central Siberia	8318.0	3429.0	4889.0
scaffold_1	1300000	1310000	MIX Sibiryakov Island	8318.0	3291.0	5027.0
scaffold_1	1300000	1310000	North America	7500.0	3365.0	4135.0
scaffold_1	1300000	1310000	Northern Ural	7800.0	3389.0	4411.0
scaffold_1	1300000	1310000	Scandinavia	8019.0	3454.0	4565.0
scaffold_1	1300000	1310000	Siberia SC	8666.0	3412.0	5254.0
scaffold_1	1300000	1310000	West Siberia	8607.0	3491.0	5116.0
scaffold_1	1300000	1310000	admixed	8531.0	3425.0	5106.0
scaffold_1	1310000	1320000	Central Europe	7279.0	3885.0	3394.0
scaffold_1	1310000	1320000	East Siberia	8366.0	3935.0	4431.0
scaffold_1	1310000	1320000	Karelia	8734.0	3935.0	4799.0
